지역,완속 (30kW 미만),중속 (30~49kW),급속 (50~99kW),급속 (100~199kW),초급속 (200kW 이상),기타,합계
경기도,"143,349",580,"2,770","7,523","3,725",0,"157,947"
서울특별시,"70,642",241,"1,618","3,359","1,094",0,"76,954"
전남광주통합특별시,"29,863",132,"1,093","2,104",791,0,"33,983"
인천광역시,"30,784",115,974,"1,277",506,0,"33,656"
부산광역시,"30,333",207,488,"1,475",413,0,"32,916"
경상남도,"27,295",185,775,"2,631",828,0,"31,714"
대구광역시,"24,078",69,695,887,330,0,"26,059"
경상북도,"19,986",91,"1,013","2,307","1,140",0,"24,537"
충청남도,"19,934",105,598,"1,736",884,0,"23,257"
전북특별자치도,"15,325",125,511,"1,742",724,0,"18,427"
강원특별자치도,"15,265",55,551,"1,721",772,0,"18,364"
충청북도,"15,642",138,687,"1,295",579,0,"18,341"
대전광역시,"13,913",63,460,755,239,0,"15,430"
제주특별자치도,"10,122",11,"1,141",953,305,0,"12,532"
울산광역시,"9,697",45,246,628,214,0,"10,830"
세종특별자치시,"6,070",10,187,216,137,0,"6,620"
