번호,광역지자체,시군구, 50키로와트 , 100키로와트 , 100키로와트듀얼 , 200키로와트듀얼 , 300키로와트이상 ,  사용량(키로와트시)  
1,제주,제주시,5,0,0,0,0,1464941
2,서울,마포구,7,0,0,0,0,609582
3,대구,달서구,0,8,0,0,0,480324
4,서울,용산구,10,0,0,0,0,472412
5,제주,제주시,9,0,0,0,0,460545
6,대전,중구,5,0,0,0,0,448505
7,경남,창원시,5,0,0,0,0,413042
8,제주,제주시,2,0,0,0,0,402696
9,서울,광진구,4,0,0,0,0,388667
10,대전,서구,2,0,0,0,0,384444
11,인천,계양구,4,0,0,0,0,378780
12,대구,동구,5,0,0,0,0,372049
13,제주,서귀포시,3,0,0,0,0,357230
14,대구,북구,4,0,0,0,0,354046
15,제주,제주시,3,0,0,0,0,341876
16,경기,수원시,2,0,0,0,0,341484
17,제주,제주시,2,0,0,0,0,323804
18,서울,양천구,4,0,0,0,0,314195
19,대전,서구,5,0,0,0,0,301367
20,세종,세종시,4,0,0,0,0,290588
21,제주,서귀포시,2,0,0,0,0,279186
22,서울,강서구,4,0,0,0,0,275756
23,제주,제주시,1,0,0,0,0,265088
24,대전,동구,2,0,0,0,0,261840
25,대구,수성구,2,0,0,0,0,257095
26,전남,나주시,1,0,0,0,0,244608
27,서울,송파구,3,0,0,0,0,243273
28,서울,강북구,4,2,0,0,0,238426
29,강원,강릉시,2,0,0,0,0,230153
30,인천,남동구,2,0,0,0,0,228351
31,경기,성남시,2,0,0,0,0,226267
32,제주,제주시,2,0,0,0,0,220733
33,제주,제주시,2,0,0,0,0,214253
34,경북,경주시,2,0,0,0,0,213906
35,경기,안산시,2,0,0,0,0,212657
36,부산,사하구,2,0,0,0,0,212577
37,대구,달서구,2,0,0,0,0,210987
38,충북,청주시,2,0,0,0,0,206172
39,제주,제주시,2,0,0,0,0,204418
40,경북,안동시,2,0,0,0,0,203493
41,서울,광진구,5,0,0,0,0,201790
42,서울,강남구,1,0,0,0,0,201697
43,대전,대덕구,2,0,0,0,0,200218
44,대전,유성구,1,0,0,0,0,198496
45,제주,서귀포시,2,0,0,0,0,197596
46,제주,서귀포시,2,0,0,0,0,197251
47,제주,제주시,2,0,0,0,0,196314
48,제주,제주시,2,0,0,0,0,196054
49,경북,포항시,1,0,0,0,0,193695
50,울산,중구,5,0,0,0,0,187484
51,서울,강남구,1,0,0,0,0,185890
52,제주,제주시,2,0,0,0,0,184692
53,제주,서귀포시,2,0,0,0,0,184038
54,전남,나주시,2,0,0,0,0,181468
55,울산,남구,2,0,0,0,0,181310
56,제주,제주시,5,0,0,0,0,180053
57,강원,강릉시,1,0,0,0,0,178328
58,제주,제주시,2,0,0,0,0,177531
59,전남,순천시,2,0,0,0,0,173114
60,대구,중구,2,0,0,0,0,172664
61,강원,원주시,2,0,0,0,0,171258
62,경기,수원시,2,0,0,0,0,170448
